,Latitude,Longitude,Cluster,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020
"Abadia de Goiás, GO",-16.7572644,-49.4412205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.39165621794142,68.39165621794142,56.993046848284514,56.993046848284514,68.39165621794142,68.39165621794142,68.39165621794142,68.39165621794142,68.39165621794142,68.39165621794142,68.39165621794142,79.79026558759831,79.79026558759831,91.18887495725521,91.18887495725521,79.79026558759831,79.79026558759831,79.79026558759831,102.58748432691212,102.58748432691212,125.38470306622592,136.78331243588283,159.58053117519663,159.58053117519663,159.58053117519663,193.77635928416734,227.97218739313809,250.76940613245185,239.37079676279487,250.76940613245185,250.76940613245185,250.76940613245185,250.76940613245185,319.16106235039325,319.16106235039325,353.356890459364,376.15410919867776,376.15410919867776,376.15410919867776,364.75549982902083,433.14715604696227,478.74159352558985
"Abadiânia, GO",-16.1940946,-48.706776700000006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.979044007584076,9.979044007584076,9.979044007584076,9.979044007584076,39.9161760303363,39.9161760303363,49.89522003792037,59.874264045504454,59.874264045504454,59.874264045504454,59.874264045504454,69.85330805308851,69.85330805308851,69.85330805308851,69.85330805308851,89.81139606825667,89.81139606825667,94.80091807204869,114.75900608721683,129.72757209859296,144.6961381099691,144.6961381099691,149.6856601137611,149.6856601137611,154.6751821175531,169.64374812892925,169.64374812892925,174.63327013272132,184.61231414030536,184.61231414030536,184.61231414030536,199.58088015168147,209.55992415926556,229.51801217443366
"Acorizal, MT",-15.200154399999999,-56.366895299999996,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.521948508983144,18.521948508983144,18.521948508983144,18.521948508983144,18.521948508983144,18.521948508983144,18.521948508983144,18.521948508983144,18.521948508983144,18.521948508983144,37.04389701796629,37.04389701796629,55.56584552694943,55.56584552694943,74.08779403593256,74.08779403593256,74.08779403593256,74.08779403593256,166.69753658084832,166.69753658084832,166.69753658084832,166.69753658084832,166.69753658084832,166.69753658084832,166.69753658084832,166.69753658084832,166.69753658084832,166.69753658084832,166.69753658084832,222.2633821077977,222.2633821077977,222.2633821077977,240.7853306167809,240.7853306167809,240.7853306167809,240.7853306167809,240.7853306167809,240.7853306167809,333.39507316169664,351.9170216706798,351.9170216706798,351.9170216706798,351.9170216706798,351.9170216706798,463.04871272457865,463.04871272457865,463.04871272457865,463.04871272457865,611.2243007964438,611.2243007964438,611.2243007964438,629.746249305427,703.8340433413596
"Acreúna, GO",-17.395989899999996,-50.374903100000004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,8.942144326209426,13.413216489314136,13.413216489314136,13.413216489314136,13.413216489314136,13.413216489314136,13.413216489314136,26.826432978628283,26.826432978628283,31.297505141732987,31.297505141732987,40.239649467942414,40.239649467942414,40.239649467942414,76.00822677278009,76.00822677278009
"Adelândia, GO",-16.4155077,-50.1665834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7456279809221,39.7456279809221,39.7456279809221,39.7456279809221,79.4912559618442,119.23688394276628,119.23688394276628,119.23688394276628,119.23688394276628,79.4912559618442,79.4912559618442,79.4912559618442,79.4912559618442,198.7281399046105,198.7281399046105,198.7281399046105,278.21939586645465,317.9650238473768,317.9650238473768,397.456279809221,437.20190779014297,476.94753577106513,476.94753577106513,476.94753577106513,476.94753577106513,993.6406995230524
"Alcinópolis, MS",-18.326412100000002,-53.709446299999996,0,0.0,0.0,0.0,0.0,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769,18.71607711023769
"Alexânia, GO",-16.0834049,-48.50778029999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,3.616244168806277,7.232488337612555,14.46497667522511,14.46497667522511,14.46497667522511,25.313709181643944,25.313709181643944,21.69746501283766,25.313709181643944,28.92995335045022,25.313709181643944,25.313709181643944,25.313709181643944,32.5461975192565,43.39493002567532,43.39493002567532,43.39493002567532,43.39493002567532,43.39493002567532,43.39493002567532,54.24366253209417,57.85990670090044,65.092395038513,79.55737171373809,79.55737171373809,79.55737171373809,79.55737171373809,79.55737171373809,97.63859255776951,108.48732506418834,119.33605757060715,141.03352258344484,141.03352258344484,148.26601092105741,155.49849925866994,224.2071384659892
"Aloândia, GO",-17.7277983,-49.480933799999995,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803,50.12531328320803
"Alta Floresta, MT",-9.8715018,-56.083988100000006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,1.9311729944768448,3.8623459889536895,3.8623459889536895,3.8623459889536895,3.8623459889536895,3.8623459889536895,3.8623459889536895,3.8623459889536895,3.8623459889536895,3.8623459889536895,3.8623459889536895,3.8623459889536895,5.793518983430536,13.518210961337914,13.518210961337914,13.518210961337914,13.518210961337914,17.380556950291606,17.380556950291606,17.380556950291606,19.31172994476845,19.31172994476845,23.174075933722143,25.105248928198986,30.898767911629523,30.898767911629523,36.692286895060064,61.79753582325905,61.79753582325905,71.45340079564328,71.45340079564328,71.45340079564328,71.45340079564328,71.45340079564328,71.45340079564328,71.45340079564328,73.3845737901201,73.3845737901201,83.04043876250434,83.04043876250434,83.04043876250434,83.04043876250434,131.31976362442546,191.1861264532077,191.1861264532077,191.1861264532077,191.1861264532077,198.91081843111505,202.77316442006875,202.77316442006875,210.4978563979761,227.8784133482677,227.8784133482677,239.46545131512883,254.9148352709436,252.98366227646676,252.98366227646676,280.02008419914256,280.02008419914256,281.95125719361937,295.4694681549573,291.6071221660036,305.12533312734155
"Alto Araguaia, MT",-17.315652800000002,-53.216936499999996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.501995379122032,10.501995379122032,10.501995379122032,10.501995379122032,10.501995379122032,10.501995379122032,36.75698382692712,36.75698382692712,36.75698382692712,36.75698382692712,36.75698382692712,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,52.50997689561017,57.760974585171176,57.760974585171176,57.760974585171176,63.0119722747322,63.0119722747322,68.26296996429322,94.5179584120983,94.5179584120983,99.76895610165931,99.76895610165931,120.77294685990336,120.77294685990336,136.52593992858644,152.2789329972695,168.03192606595252,173.28292375551354,173.28292375551354,173.28292375551354,173.28292375551354,173.28292375551354,189.0359168241966
