,Latitude,Longitude,Cluster,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020
"Abaetetuba, PA",-1.721828,-48.878842999999996,2,0.0,0.0,0.0,0.0,0.6341234511534706,0.6341234511534706,0.6341234511534706,0.6341234511534706,0.6341234511534706,0.6341234511534706,0.6341234511534706,0.6341234511534706,1.2682469023069411,1.2682469023069411,1.2682469023069411,1.2682469023069411,1.2682469023069411,1.2682469023069411,1.902370353460412,1.902370353460412,1.902370353460412,1.902370353460412,3.804740706920824,3.804740706920824,3.804740706920824,3.804740706920824,3.804740706920824,3.804740706920824,3.804740706920824,5.7071110603812345,7.609481413841647,7.609481413841647,11.414222120762469,13.95071592537635,16.487209729990234,22.19432079037147,22.19432079037147,28.53555530190617,30.437925655366588,36.779160166901285,36.779160166901285,36.779160166901285,36.779160166901285,42.48627122728253,45.02276503189641,46.92513538535682,116.67871501223856,131.89767783992187,182.62755393219956,183.89580083450645,186.4322946391204,189.60291189488768,233.35743002447717,280.282565409834,296.13565168867075,299.94039239559163,316.4276021255818,324.67120699057693,326.57357734403735,341.79254017172065,709.5841418407335,911.8695227586908,972.1112506182704,984.1595961901863,986.6960899948002,987.3302134459536,987.9643368971073,1003.8174231759441,1024.109373612855,1046.93781785438,1082.4487311189744,1084.3511014724347,1084.3511014724347,1095.1312001420436,1100.2041877512713,1102.7406815558852,1140.7880886250935,1251.1255691257973,1317.0744080457582,1317.0744080457582,1303.123692120382,1306.2943093761494,1382.389123514566,1383.657370416873,1384.9256173191798,1395.7057159887888,1400.144580146863,1400.7787035980164,1410.2905553653186,1415.9976664257001,1422.973024388388,1440.0943575695317,1443.2649748252989,1445.1673451787594,1445.1673451787594,1464.1910487133637,1468.6299128714375
"Abel Figueiredo, PA",-4.953001,-48.3958485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.451708366962604,0.0,26.90341673392521,26.90341673392521,26.90341673392521,26.90341673392521,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,40.35512510088781,53.80683346785042,80.71025020177562,107.61366693570083,242.13075060532688,242.13075060532688,242.13075060532688,242.13075060532688,269.03416733925206,269.03416733925206,403.5512510088781,403.5512510088781,417.0029593758408,417.0029593758408,417.0029593758408,524.6166263115416,591.8751681463546,591.8751681463546,659.1337099811676,659.1337099811676,659.1337099811676,672.5854183481302,712.9405434490179,726.3922518159807,780.199085283831,807.1025020177563,807.1025020177563,807.1025020177563,807.1025020177563,820.5542103847189,834.0059187516815,834.0059187516815,834.0059187516815,860.9093354856067,928.1678773204196,928.1678773204196,928.1678773204196,941.6195856873824
"Abreulândia, TO",-9.6221526,-49.1558343,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.774718883288095,38.774718883288095,38.774718883288095,38.774718883288095,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,77.54943776657619,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,116.32415664986428,155.09887553315238,155.09887553315238,155.09887553315238,155.09887553315238,155.09887553315238
"Acará, PA",-1.9613880000000001,-48.198704299999996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,1.7988523322120489,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,3.5977046644240973,7.1954093288481955,8.994261661060243,8.994261661060243,8.994261661060243,23.38508031875663,32.37934197981688,32.37934197981688,32.37934197981688,32.37934197981688,35.97704664424097,37.77589897645302,37.77589897645302,46.77016063751326,46.77016063751326,48.569012969725314,53.965569966361464,53.965569966361464,53.965569966361464,53.965569966361464,53.965569966361464,53.965569966361464,57.563274630785564,57.563274630785564,57.563274630785564,73.75294562069399,320.19571513374467,323.7934197981688,323.7934197981688,323.7934197981688,348.97735244913747,357.97161411019766,361.5693187746218,361.5693187746218,379.5578420967423,393.9486607544387,393.9486607544387,395.7475130866507,404.741774747711,419.1325934054074,447.91423072080016,449.71308305301216,447.91423072080016,447.91423072080016,473.0981633717688,692.5581479016388,802.2881401665738,805.8858448309978,807.6846971632096,809.483549495422,811.282401827634,811.282401827634,811.282401827634,814.880106492058
"Acrelândia, AC",-10.075916699999999,-67.0526898,2,0.0,0.0,13.109596224436288,39.32878867330887,45.88358678552701,52.43838489774515,52.43838489774515,58.993183009963296,58.993183009963296,58.993183009963296,58.993183009963296,58.993183009963296,58.993183009963296,58.993183009963296,58.993183009963296,58.993183009963296,65.54798112218144,72.10277923439958,72.10277923439958,72.10277923439958,72.10277923439958,78.65757734661774,78.65757734661774,78.65757734661774,78.65757734661774,78.65757734661774,78.65757734661774,78.65757734661774,78.65757734661774,78.65757734661774,78.65757734661774,85.21237545883588,85.21237545883588,85.21237545883588,85.21237545883588,85.21237545883588,85.21237545883588,91.76717357105402,98.32197168327214,104.8767697954903,98.32197168327214,98.32197168327214,111.43156790770844,183.53434714210803,196.64394336654428,196.64394336654428,203.19874147876249,255.6371263765076,308.0755112742528,386.7330886208705,439.1714735186157,439.1714735186157,485.0550603041426,485.0550603041426,589.9318300996329,648.9250131095963,780.0209753539592,845.5689564761404,845.5689564761404,845.5689564761404,865.2333508127948,950.4457262716307,983.2197168327216,1035.6581017304666,1035.6581017304666,1035.6581017304666,1035.6581017304666,1035.6581017304666,1048.767697954903,1081.5416885159937,1081.5416885159937,1081.5416885159937,1081.5416885159937,1088.0964866282118,1094.6512847404301,1094.6512847404301,1094.6512847404301,1127.4252753015207,1127.4252753015207,1166.7540639748295,1166.7540639748295,1166.7540639748295,1179.8636601992655,1186.4184583114838,1186.4184583114838,1186.4184583114838,1186.4184583114838,1212.6376507603563,1212.6376507603563,1212.6376507603563,1212.6376507603563,1258.5212375458834,1258.5212375458834,1258.5212375458834,1258.5212375458834,1258.5212375458834,1271.63083377032
"Afuá, PA",-0.1535664,-50.3879223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,2.5498495588760264,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,10.199398235504106,50.99699117752052,140.24172573818143,234.58615941659443,257.5348054464787,308.5317966239992,354.42908868376765,382.477433831404,395.2266816257841,397.7765311846601,397.7765311846601,469.17231883318885,525.2690091284613,581.365699423734,652.7614870722628,652.7614870722628,652.7614870722628,657.8611861900147,668.0605844255189,670.610433984395,767.5047172216838,770.05456678056,787.9035136926921,838.9005048702127,831.2509561935846,915.3959916364937,1004.6407261971544,1050.5380182569231,1093.8854607578153,1211.1785404661125,1236.6770360548728,1236.6770360548728,1325.9217706155334,1387.1181600285583,1430.4656025294507,1542.6589831199958,1665.0517619460452,1672.7013106226734,1672.7013106226734,1677.8010097404251,1726.2481513590694
"Aguiarnópolis, TO",-6.5600452,-47.4721189,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.852220406950838,14.852220406950838,14.852220406950838,14.852220406950838,29.70444081390168,29.70444081390168,29.70444081390168,29.70444081390168,29.70444081390168,29.70444081390168,29.70444081390168,29.70444081390168,44.556661220852526,59.40888162780335,74.26110203475419,74.26110203475419,103.96554284865587,133.66998366255754,148.52220406950838,148.52220406950838,178.2266448834101,178.2266448834101,178.2266448834101,282.192187732066,311.89662854596764,415.8621713946235,460.418832615476,519.8277142432794,549.5321550571811,534.6799346502302,579.2365958710827,608.9410366849844,668.3499183127877,712.9065795336403,816.8721223822963,816.8721223822963,816.8721223822963,1039.6554284865583,1084.2120897074112,1173.3254121491166,1188.177632556067,1203.0298529630181,1203.0298529630181,1306.9953958116741,1396.1087182533786,1410.9609386603297,1440.6653794742315,1529.7787019159366,1544.6309223228873,1544.6309223228873,1544.6309223228873,1648.596465171543,1663.448685578494,1663.448685578494,1737.709787613248,1826.8231100549533,1826.8231100549533,1826.8231100549533,2064.4586365661667,2123.86751819397
"Alenquer, PA",-1.946229,-54.738355000000006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760904400500097,1.760904400500097,1.760904400500097,1.760904400500097,1.760904400500097,1.760904400500097,1.760904400500097,3.521808801000194,7.043617602000388,7.043617602000388,7.043617602000388,8.804522002500484,8.804522002500484,8.804522002500484,8.804522002500484,12.326330803500678,12.326330803500678,12.326330803500678,12.326330803500678,19.369948405501066,19.369948405501066,19.369948405501066,21.130852806001162,22.891757206501254,22.891757206501254,22.891757206501254,22.891757206501254,28.17447040800155,28.17447040800155,28.17447040800155,28.17447040800155,28.17447040800155,52.82713201500291,110.9369772315061,110.9369772315061,116.2196904330064,116.2196904330064,116.2196904330064,116.2196904330064,116.2196904330064,117.98059483350649,170.80772684850942,426.1388649210234,480.7269013365264,487.77051893852683,487.77051893852683,517.7058937470283,530.0322245505291,538.8367465530297,623.3601577770343,662.1000545880363,672.665480991037,684.9918117945376,679.7090985930373,684.9918117945376,695.5572381975383,695.5572381975383,704.3617602000387,755.4279878145417,813.5378330310448,813.5378330310448,815.2987374315449,831.1468770360457,836.4295902375459,836.4295902375459,843.4732078395464,862.8431562450475,862.8431562450475,862.8431562450475,862.8431562450475
"Aliança do Tocantins, TO",-11.3055927,-48.940909600000005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.55287569573284,18.55287569573284,18.55287569573284,37.10575139146568,18.55287569573284,37.10575139146568,37.10575139146568,37.10575139146568,37.10575139146568,37.10575139146568,37.10575139146568,37.10575139146568,37.10575139146568,37.10575139146568,37.10575139146568,37.10575139146568,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,74.21150278293135,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,55.658627087198525,74.21150278293135,74.21150278293135,74.21150278293135,74.21150278293135,111.31725417439705,111.31725417439705,111.31725417439705,111.31725417439705,111.31725417439705,111.31725417439705,111.31725417439705,111.31725417439705,111.31725417439705,148.4230055658627,166.97588126159556
"Almas, TO",-11.568130900000002,-47.170280299999995,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.174344436569807,28.34868887313961,28.34868887313961,42.52303330970943,28.34868887313961,28.34868887313961,28.34868887313961,28.34868887313961,28.34868887313961,42.52303330970943,42.52303330970943
