,Latitude,Longitude,Cluster,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020
"Abaiara, CE",-7.360780800000001,-39.0487878,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.520064752492116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.520064752492116,8.520064752492116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,8.520064752492116,25.560194257476358,25.560194257476358,51.120388514952715,51.120388514952715,51.120388514952715,51.120388514952715,51.120388514952715,51.120388514952715,51.120388514952715,59.64045326744483,59.64045326744483,59.64045326744483,59.64045326744483,59.64045326744483,102.24077702990543,102.24077702990543,102.24077702990543,102.24077702990543,110.76084178239756,119.28090653488968,127.80097128738178,127.80097128738178,127.80097128738178,144.841100792366,144.841100792366,144.841100792366,144.841100792366,144.841100792366,144.841100792366,153.36116554485812,153.36116554485812,153.36116554485812,170.40129504984242
"Abaré, BA",-8.7239913,-39.1139689,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.978592054167081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.978592054167081,4.978592054167081,4.978592054167081,4.978592054167081,4.978592054167081,4.978592054167081,4.978592054167081,9.957184108334165,9.957184108334165,9.957184108334165,9.957184108334165,9.957184108334165
"Abaíra, BA",-13.2503296,-41.6640342,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,11.442956860052636,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,57.214784300263176,57.214784300263176,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,57.214784300263176,57.214784300263176,57.214784300263176,57.214784300263176,57.214784300263176,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,45.771827440210544,57.214784300263176,57.214784300263176,57.214784300263176,57.214784300263176,57.214784300263176,57.214784300263176,57.214784300263176,57.214784300263176,57.214784300263176,68.65774116031585,68.65774116031585,68.65774116031585,68.65774116031585,80.10069802036847,80.10069802036847,80.10069802036847,57.214784300263176
"Abreu e Lima, PE",-7.9007190000000005,-34.898389,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001000100010002,1.0001000100010002,5.000500050005001,10.001000100010002,13.001300130013002,15.001500150015007,15.001500150015007,17.001700170017006,18.001800180018,21.002100210021,27.002700270027,29.002900290029,29.002900290029,31.003100310031005,36.003600360036,36.003600360036,46.00460046004599,49.004900490049,54.005400540054005,62.00620062006201,67.00670067006699,72.007200720072,77.00770077007702,83.00830083008302,87.00870087008701,87.00870087008701,91.009100910091,99.009900990099,114.011401140114,121.01210121012102,129.01290129012898,131.01310131013102,136.01360136013602,144.014401440144,153.01530153015304,162.01620162016198,168.01680168016804,192.019201920192,201.020102010201,209.02090209020903,216.021602160216,232.023202320232,245.02450245024502,259.025902590259,265.026502650265,271.02710271027104,280.02800280028003,285.02850285028507,287.028702870287,296.02960296029596,313.031303130313,319.03190319031904,329.03290329032905,332.03320332033206,338.03380338033804,347.03470347034704,355.0355035503551,361.0361036103611,372.0372037203722,381.038103810381,384.038403840384,388.03880388038806,394.039403940394,402.040204020402,409.0409040904091,415.04150415041494,418.04180418041807,421.0421042104209,429.042904290429,430.04300430043014,435.043504350435,441.0441044104409,443.0443044304431,449.04490449044897,454.045404540454,454.045404540454,458.04580458045814,462.04620462046205,464.046404640464,474.04740474047406,477.04770477047697,478.047804780478,477.04770477047697,481.04810481048105
"Acajutiba, BA",-11.6609659,-38.0186381,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,13.193482419684674,13.193482419684674,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,6.596741209842337,13.193482419684674,19.79022362952701,19.79022362952701,19.79022362952701,19.79022362952701,19.79022362952701,19.79022362952701,19.79022362952701,19.79022362952701,26.386964839369348,26.386964839369348,32.98370604921169,32.98370604921169,32.98370604921169,32.98370604921169,32.98370604921169,32.98370604921169,32.98370604921169,32.98370604921169,32.98370604921169,32.98370604921169,32.98370604921169,46.17718846889637,46.17718846889637,46.17718846889637,46.17718846889637,65.96741209842338,72.56415330826572,92.35437693779274,105.54785935747739,125.33808298700441,151.72504782637378,151.72504782637378,151.72504782637378,158.32178903621607
"Acarape, CE",-4.2237865999999995,-38.7071663,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.396744591064373,13.396744591064373,20.095116886596557,26.793489182128745,26.793489182128745,26.793489182128745,33.491861477660926,26.793489182128745,26.793489182128745,26.793489182128745,26.793489182128745,20.095116886596557,26.793489182128745,26.793489182128745,26.793489182128745,26.793489182128745,33.491861477660926,33.491861477660926,0.0,60.28535065978968,66.98372295532187,60.28535065978968,60.28535065978968,60.28535065978968,66.98372295532187,66.98372295532187,53.58697836425749,66.98372295532187,80.38046754638623,80.38046754638623,87.07883984191841,107.17395672851498,133.9674459106437,140.66581820617589,147.3641905017081,140.66581820617589,154.06256279724028,160.76093509277246,160.76093509277246,160.76093509277246,160.76093509277246,154.06256279724028,475.5844329827852,502.37792216491385,582.7583897113003,582.7583897113003,622.9486234844933,669.8372295532185,683.2339741442828,676.5356018487507,716.7258356219438,957.8672382611026,1031.5493335119563,1065.0411949896177,1272.6907361511153,1272.6907361511153,1346.3728314019693,1339.674459106437,1795.1637752026254,1815.2588920892224,2029.6068055462524,2083.1937839105094,2223.859602116685,2277.446580480944,2277.446580480944,2284.1449527764757,2679.348918212874,2987.4740438073545,3061.156139058209,3108.0447451269342,3121.4414897179986,3181.726840377788,3181.726840377788,3349.186147766093,3422.8682430169465
"Acaraú, CE",-2.8869514,-40.1194713,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,4.789195574783289,7.9819926246388135,6.385594099711052,6.385594099711052,43.1027601730496,43.1027601730496,43.1027601730496,43.1027601730496,49.48835427276066,49.48835427276066,49.48835427276066,51.08475279768842,54.27754984754394,57.47034689739947,180.3930333168372,186.77862741654823,188.37502594147603,194.76062004118708,197.95341709104264,201.14621414089808,201.14621414089808,236.2669816893089,279.3697418623585,288.9481330119251,295.3337271116362,324.0689005603358,351.2076754841078,435.8167973052794,443.79878992991814,496.47994125253433,494.8835427276066,494.8835427276066,496.47994125253433,496.47994125253433,496.47994125253433,496.47994125253433,498.07633977746207,772.6568860650373,775.8496831148927,785.4280742644594,809.3740521383756,964.2247090563687,1238.8052553439438,1273.9260228923551,1318.6251815903322,1318.6251815903322,1318.6251815903322,1419.1982886607811,1503.8074104819527,1567.663351479063,1671.4292555993675,1671.4292555993675,1671.4292555993675,1671.4292555993675,1674.6220526492236,1760.8275729953225,1952.395395986654,2022.636931083476,2102.456857329864,2104.053255854792,2223.783145224374,2335.531041969317,2345.1094331188838,2455.2609313388994,2468.032119538321,2632.461167605881,2634.057566130809,2632.461167605881,2675.5639277789305,2725.052282051691
"Acari, RN",-6.4364689,-36.6394777,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,17.959770114942533,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,17.959770114942533,17.959770114942533,17.959770114942533,17.959770114942533,17.959770114942533,17.959770114942533,17.959770114942533,17.959770114942533,17.959770114942533,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,8.979885057471266,17.959770114942533,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,26.939655172413797,53.879310344827594,53.879310344827594,71.83908045977013,80.81896551724137,80.81896551724137,71.83908045977013,71.83908045977013,71.83908045977013,71.83908045977013,71.83908045977013,71.83908045977013,71.83908045977013,80.81896551724137,80.81896551724137,80.81896551724137,80.81896551724137,80.81896551724137,89.79885057471266,89.79885057471266,107.75862068965515,98.77873563218391,215.51724137931038,224.49712643678157,224.49712643678157
"Acauã, PI",-8.219542,-41.083059000000006,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.116318464144552,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,28.232636928289104,42.34895539243366,42.34895539243366,56.46527385657821,56.46527385657821,56.46527385657821,56.46527385657821,56.46527385657821,56.46527385657821,56.46527385657821,70.58159232072275,70.58159232072275
"Acopiara, CE",-6.093646400000001,-39.4543204,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8426386585590568,1.8426386585590568,1.8426386585590568,3.685277317118113,3.685277317118113,3.685277317118113,3.685277317118113,3.685277317118113,5.527915975677169,5.527915975677169,5.527915975677169,3.685277317118113,5.527915975677169,5.527915975677169,9.213193292795284,11.055831951354339,12.898470609913394,11.055831951354339,14.741109268472453,14.741109268472453,14.741109268472453,14.741109268472453,14.741109268472453,14.741109268472453,14.741109268472453,14.741109268472453,14.741109268472453,14.741109268472453,22.111663902708678,22.111663902708678,22.111663902708678,31.32485719550396,38.69541182974019,36.852773171181134,36.852773171181134,51.59388243965358,62.64971439100792,70.02026902524415,71.8629076838032,88.44665561083471,88.44665561083471,88.44665561083471,88.44665561083471,88.44665561083471,90.28929426939379,90.28929426939379,92.13193292795285,136.35526073337022,138.1978993919292,143.7258153676064,160.3095632946379,163.99484061175605,189.7917818315828,208.21816841717342,226.64455500276398,235.85774829555925,234.01510963700017,248.75621890547265,254.28413488114984,285.60899207665375,287.4516307352128,287.4516307352128,287.4516307352128,287.4516307352128,309.5632946379215,320.6191265892758,355.62926110189795,364.8424543946932,381.4262023217247,385.11147963884287,392.48203427307914,410.9084208586697,421.96425281002405,423.806891468583,434.8627234199373,436.7053620784964,445.91855537129163,445.91855537129163,447.76119402985086,490.1418831767089
