,Latitude,Longitude,Cluster,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020
"Abatiá, PR",-23.3052967,-50.3102532,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,13.410218586562962,26.820437173125924,26.820437173125924,26.820437173125924,26.820437173125924,26.820437173125924,93.87153010594072,93.87153010594072,93.87153010594072,107.2817486925037,107.2817486925037,120.69196727906666,147.51240445219256,147.51240445219256,147.51240445219256,201.1532787984444,201.1532787984444,241.38393455813332,241.38393455813332,268.20437173125924,268.20437173125924,268.20437173125924,281.6145903178222,388.8963390103259,455.94743194314066,482.76786911626664,482.76786911626664,482.76786911626664,482.76786911626664,509.5883062893925,509.5883062893925,522.9985248759555,590.0496178087702
"Abdon Batista, SC",-27.612419,-51.022992,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.01677721420211,39.01677721420211,39.01677721420211,39.01677721420211,39.01677721420211,39.01677721420211,78.03355442840422,78.03355442840422,78.03355442840422,78.03355442840422,78.03355442840422,312.13421771361686,312.13421771361686,351.150994927819,351.150994927819,351.150994927819,351.150994927819,351.150994927819,351.150994927819,312.13421771361686,390.1677721420211,468.20132657042524,468.20132657042524,468.20132657042524,507.21810378462743,663.2852126414358,936.4026531408505,936.4026531408505,936.4026531408505,936.4026531408505,975.4194303550528,1014.4362075692549,1131.486539211861,1131.486539211861
"Abelardo Luz, SC",-26.5705893,-52.3280339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5853440571939235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5853440571939235,5.5853440571939235,11.170688114387847,11.170688114387847,11.170688114387847,11.170688114387847,11.170688114387847,11.170688114387847,11.170688114387847,11.170688114387847,11.170688114387847,16.75603217158177,16.75603217158177,16.75603217158177,16.75603217158177,11.170688114387847,16.75603217158177,16.75603217158177,16.75603217158177,22.341376228775694,22.341376228775694,22.341376228775694,27.926720285969616,33.51206434316354,33.51206434316354,33.51206434316354,33.51206434316354,33.51206434316354,33.51206434316354,44.68275245755139,39.097408400357466,50.26809651474531,55.85344057193923,55.85344057193923,55.85344057193923,55.85344057193923,61.43878462913316,61.43878462913316,78.19481680071493,106.12153708668454,134.04825737265415,139.63360142984808,145.218945487042,173.14566577301161,173.14566577301161,201.07238605898124,212.24307417336908,206.65773011617514,206.65773011617514,212.24307417336908,268.0965147453083,268.0965147453083
"Adrianópolis, PR",-24.6557863,-48.9912769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78949146815341,33.78949146815341,33.78949146815341,67.57898293630682,67.57898293630682,270.31593174522726,253.42118601115052,270.31593174522726,270.31593174522726,270.31593174522726,337.89491468153403,337.89491468153403,337.89491468153403,337.89491468153403,354.78966041561074,371.68440614968745,439.2633890859942,473.0528805541477,489.94762628822434,540.6318634904545,540.6318634904545
"Agrolândia, SC",-27.4122212,-49.8295774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.204712812960235,18.40942562592047,36.81885125184094,46.02356406480118,55.22827687776141,55.22827687776141,82.84241531664212,82.84241531664212,82.84241531664212,82.84241531664212,82.84241531664212,82.84241531664212,82.84241531664212,82.84241531664212,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,101.2518409425626,110.45655375552282,110.45655375552282,110.45655375552282,110.45655375552282,110.45655375552282,110.45655375552282,110.45655375552282,110.45655375552282,110.45655375552282
"Agronômica, SC",-27.2660744,-49.7104753,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.355359765051393,18.355359765051393,55.06607929515419,55.06607929515419,91.77679882525698,91.77679882525698,128.48751835535975,165.19823788546256,146.84287812041114,146.84287812041114,183.55359765051395,183.55359765051395,183.55359765051395,183.55359765051395,183.55359765051395,183.55359765051395,201.90895741556534,201.90895741556534,183.55359765051395,183.55359765051395,183.55359765051395,183.55359765051395,183.55359765051395,220.26431718061676,220.26431718061676,220.26431718061676,220.26431718061676,220.26431718061676,220.26431718061676,220.26431718061676,201.90895741556534,220.26431718061676,256.9750367107195,256.9750367107195,256.9750367107195,256.9750367107195,256.9750367107195,256.9750367107195,256.9750367107195,256.9750367107195,256.9750367107195,256.9750367107195,275.33039647577095,275.33039647577095,275.33039647577095
"Agudo, RS",-29.6423259,-53.2494005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.074965068950854,6.074965068950854,6.074965068950854,6.074965068950854,6.074965068950854,6.074965068950854,6.074965068950854,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707,12.149930137901707
"Agudos do Sul, PR",-25.9890808,-49.3328175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.671219720414044,21.342439440828088,42.684878881656175,42.684878881656175,53.35609860207021,85.36975776331235,85.36975776331235,85.36975776331235,106.71219720414042,106.71219720414042,106.71219720414042,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,117.38341692455448,138.72585636538255,138.72585636538255,138.72585636538255,149.3970760857966,149.3970760857966,149.3970760857966,149.3970760857966,149.3970760857966,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,170.7395155266247,192.08195496745276,202.75317468786682,213.42439440828085,213.42439440828085,213.42439440828085,213.42439440828085
"Ajuricaba, RS",-28.239654,-53.7693013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,14.236902050113894,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788,28.473804100227788
"Alecrim, RS",-27.6566142,-54.7653195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.80672268907563,16.80672268907563,16.80672268907563,16.80672268907563,16.80672268907563,16.80672268907563,16.80672268907563,16.80672268907563,16.80672268907563,16.80672268907563,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126,33.61344537815126
