,Latitude,Longitude,Cluster,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020
"Abadia dos Dourados, MG",-18.4911191,-47.4063589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.308198597796538,14.308198597796538,14.308198597796538,14.308198597796538,14.308198597796538,14.308198597796538,14.308198597796538,14.308198597796538,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,85.84919158677923,85.84919158677923,85.84919158677923,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827,71.5409929889827
"Abaeté, MG",-19.1566833,-45.4481213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,8.606963033093773,8.606963033093773,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,4.303481516546887,8.606963033093773,8.606963033093773,8.606963033093773,8.606963033093773,8.606963033093773,8.606963033093773,8.606963033093773,34.427852132375094,43.03481516546886,43.03481516546886,43.03481516546886,51.64177819856263,60.24874123165641
"Abre Campo, MG",-20.2976097,-42.4764741,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.73093503790694,29.73093503790694,37.16366879738368,37.16366879738368,37.16366879738368,52.02913631633715,59.46187007581388,59.46187007581388,59.46187007581388,59.46187007581388,59.46187007581388,59.46187007581388,66.89460383529061,66.89460383529061,59.46187007581388,59.46187007581388,59.46187007581388,59.46187007581388,52.02913631633715,52.02913631633715,52.02913631633715,52.02913631633715,52.02913631633715,52.02913631633715
"Acaiaca, MG",-20.3621646,-43.1444162,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0751126690035,50.0751126690035,100.150225338007,75.11266900350526,75.11266900350526,75.11266900350526,75.11266900350526,75.11266900350526,250.37556334501755,250.37556334501755,275.4131196795193,275.4131196795193,275.4131196795193,275.4131196795193
"Adamantina, SP",-21.6866517,-51.0762975,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.851602600661572,2.851602600661572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,5.703205201323144,5.703205201323144,5.703205201323144,8.554807801984715,8.554807801984715,14.258013003307857,14.258013003307857,17.10961560396943,17.10961560396943,17.10961560396943,19.961218204631002,22.812820805292574,25.66442340595415,28.516026006615714,31.367628607277286,31.367628607277286,31.367628607277286,42.77403900992358,57.03205201323143,65.58685981521614,65.58685981521614,74.14166761720087,74.14166761720087,74.14166761720087,82.69647541918557,85.54807801984715,99.806091023155,102.6576936238166,105.50929622447816,105.50929622447816,105.50929622447816,105.50929622447816,105.50929622447816,105.50929622447816,108.36089882513974,111.2125014258013,111.2125014258013,111.2125014258013,116.91570662712445,122.6189118284476,122.6189118284476,122.6189118284476,119.767309227786,119.767309227786,119.767309227786,119.767309227786,119.767309227786,122.6189118284476,125.47051442910914,125.47051442910914,125.47051442910914,125.47051442910914,131.1737196304323,131.1737196304323,131.1737196304323,128.32211702977074,128.32211702977074,128.32211702977074,128.32211702977074,131.1737196304323,134.02532223109387,131.1737196304323,134.02532223109387,145.43173263374015,145.43173263374015,145.43173263374015,159.68974563704802,165.39295083837115
"Adolfo, SP",-21.2356597,-49.6441918,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,28.074115665356544,56.14823133071309,56.14823133071309,56.14823133071309,84.22234699606962,84.22234699606962,56.14823133071309,56.14823133071309,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,84.22234699606962,112.29646266142618,112.29646266142618,112.29646266142618,140.3705783267827,140.3705783267827,140.3705783267827,196.51880965749578,224.59292532285235,252.66704098820887,252.66704098820887,308.815272318922,336.88938798427847,421.1117349803481,477.2599663110612,477.2599663110612,505.33408197641774,589.5564289724873,589.5564289724873,617.630544637844
"Afonso Cláudio, ES",-20.077841,-41.12606,1,0.0,0.0,0.0,0.0,0.0,0.0,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,9.808409076047864,9.808409076047864,9.808409076047864,13.07787876806382,26.15575753612764,32.69469692015955,32.69469692015955,32.69469692015955,35.964166612175504,42.50310599620741,45.77257568822337,45.77257568822337,58.85045445628719,62.11992414830315,68.65886353233506,71.92833322435101,71.92833322435101,71.92833322435101,81.73674230039887,101.3535604524946,107.89249983652653,107.89249983652653,114.43143922055842,124.2398482966063,130.7787876806382,130.7787876806382,130.7787876806382,147.126136140718,147.126136140718,153.6650755247499,156.93454521676583,160.2040149087818,166.74295429281372,186.35977244490942,189.6292421369254,222.3239390570849,235.40181782514875,251.74916628522854,251.74916628522854,274.63545412934025,294.252272281436,297.52174197345187,304.0606813574838,310.5996207415157,313.86909043353165,320.4080298175636,340.0248479696593,353.1027267377231,362.911135813771,372.71954488981885,398.87530242594653,408.68371150199437,464.2646962662657,464.2646962662657,506.767802262473,506.767802262473,568.8877264107762,647.3549990191591,680.0496959393186,683.3191656313346,716.0138625514942,827.1758320800366,866.409468384228,935.0683319165631,935.0683319165631,974.3019682207546,1029.882952985026,1059.3081802131694,1101.8112862093767
"Aguanil, MG",-20.9424533,-45.3927152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.8747213553277,66.8747213553277,66.8747213553277,66.8747213553277,66.8747213553277,66.8747213553277,66.8747213553277,66.8747213553277,111.45786892554615,111.45786892554615,111.45786892554615,111.45786892554615,111.45786892554615,111.45786892554615
"Aguaí, SP",-22.0592036,-46.979384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7544415369783777,0.0,2.7544415369783777,2.7544415369783777,2.7544415369783777,35.80773998071891,35.80773998071891,41.31662305467566,38.56218151769728,38.56218151769728,38.56218151769728,38.56218151769728,41.31662305467566,41.31662305467566,41.31662305467566,41.31662305467566,41.31662305467566,41.31662305467566,41.31662305467566,41.31662305467566,41.31662305467566,38.56218151769728,38.56218151769728,38.56218151769728,38.56218151769728,41.31662305467566,41.31662305467566,44.07106459165404,44.07106459165404,46.82550612863242,46.82550612863242,46.82550612863242,46.82550612863242,46.82550612863242,46.82550612863242,49.579947665610796,57.843272276545925,57.843272276545925,82.63324610935132,82.63324610935132,99.15989533122159,104.66877840517834,110.17766147913511,118.44098609007025,129.45875223798376,129.45875223798376,129.45875223798376,132.21319377496212,132.21319377496212,134.9676353119405,134.9676353119405,134.9676353119405,137.7220768489189,137.7220768489189,140.47651838589726,140.47651838589726,140.47651838589726,157.00316760776752,151.49428453381077,151.49428453381077,151.49428453381077,162.51205068172428,159.7576091447459,176.28425836661617,190.05646605150807,198.31979066244318,198.31979066244318,198.31979066244318,198.31979066244318,206.58311527337833
"Agudos, SP",-22.471162,-48.987822,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,5.374321491911647,5.374321491911647,5.374321491911647,5.374321491911647,10.748642983823293,10.748642983823293,10.748642983823293,13.435803729779115,16.12296447573494,18.81012522169076,18.81012522169076,18.81012522169076,24.18444671360241,18.81012522169076,29.558768205514053,29.558768205514053,40.30741118933735,37.62025044338152,37.62025044338152,40.30741118933735,40.30741118933735,40.30741118933735,40.30741118933735,40.30741118933735,40.30741118933735,48.36889342720482,48.36889342720482,48.36889342720482,53.74321491911646,53.74321491911646,53.74321491911646,51.05605417316064,56.43037566507228,56.43037566507228,56.43037566507228,56.43037566507228,56.43037566507228,56.43037566507228,59.117536411028105,59.117536411028105,59.117536411028105,59.117536411028105,59.117536411028105,59.117536411028105,59.117536411028105,59.117536411028105,61.80469715698393,61.80469715698393,59.117536411028105,61.80469715698393,61.80469715698393,61.80469715698393,69.8661793948514,72.55334014080722,85.98914387058635,85.98914387058635,88.67630461654215,91.36346536249799,91.36346536249799,94.05062610845381,99.42494760036544,118.23507282205621,118.23507282205621,118.23507282205621,123.60939431396785,126.29655505992368,128.9837158058795,134.35803729779116,137.04519804374698,166.60396624926102,180.03976997904013,180.03976997904013,180.03976997904013,193.47557370881927,223.0343419143333,223.0343419143333,231.09582415220078,241.8444671360241,279.4647175794056,279.4647175794056,284.83903907131725,322.4592895146988
