,Latitude,Longitude,Cluster,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020
"Abaiara, CE",-7.360780800000001,-39.0487878,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118,8.520064752492118
"Abaré, BA",-8.7239913,-39.1139689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abaíra, BA",-13.2503296,-41.6640342,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.442956860052638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abreu e Lima, PE",-7.9007190000000005,-34.898389,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001000100010002,1.0001000100010002,1.0001000100010002,2.0002000200020005,2.0002000200020005,2.0002000200020005,4.000400040004001,4.000400040004001,4.000400040004001,4.000400040004001,4.000400040004001,4.000400040004001,4.000400040004001,4.000400040004001,4.000400040004001,4.000400040004001,4.000400040004001,5.000500050005001,7.000700070007,8.000800080008002,11.001100110011,13.001300130013002,14.001400140014,15.001500150015003,15.001500150015003,15.001500150015003,19.001900190019004,20.002000200020003,21.002100210021002,21.002100210021002,23.002300230023,24.002400240024002,24.002400240024002,26.002600260026004,27.002700270027002,30.003000300030006,35.003500350035004,38.00380038003801,38.00380038003801,40.004000400040006,41.004100410041005,41.004100410041005,45.004500450045,47.004700470047005,47.004700470047005,47.004700470047005,48.004800480048004,48.004800480048004,51.00510051005101,51.00510051005101,51.00510051005101,51.00510051005101,51.00510051005101,51.00510051005101,52.00520052005201,52.00520052005201,52.00520052005201,52.00520052005201,52.00520052005201,53.005300530053006,53.005300530053006,53.005300530053006,53.005300530053006,55.005500550055004,55.005500550055004,55.005500550055004,56.005600560056,56.005600560056,56.005600560056,55.005500550055004,55.005500550055004
"Acajutiba, BA",-11.6609659,-38.0186381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.596741209842338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.596741209842338,6.596741209842338,6.596741209842338,6.596741209842338,6.596741209842338,6.596741209842338
"Acarape, CE",-4.2237865999999995,-38.7071663,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,0.0,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,6.698372295532186,13.396744591064373,13.396744591064373,13.396744591064373,13.396744591064373,13.396744591064373,13.396744591064373,13.396744591064373,13.396744591064373,20.095116886596557,20.095116886596557,20.095116886596557,20.095116886596557,20.095116886596557,13.396744591064373,13.396744591064373,13.396744591064373,20.095116886596557,20.095116886596557,33.49186147766093,33.49186147766093,40.190233773193114,40.190233773193114,40.190233773193114,40.190233773193114,40.190233773193114,53.58697836425749,53.58697836425749,53.58697836425749,60.28535065978968,60.28535065978968,60.28535065978968,60.28535065978968,60.28535065978968,60.28535065978968,60.28535065978968,66.98372295532187,66.98372295532187,66.98372295532187,66.98372295532187,73.68209525085405,73.68209525085405,73.68209525085405,73.68209525085405,73.68209525085405,73.68209525085405,73.68209525085405,73.68209525085405,80.38046754638623,80.38046754638623
"Acaraú, CE",-2.8869514,-40.1194713,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,1.596398524927763,4.789195574783289,4.789195574783289,4.789195574783289,4.789195574783289,7.981992624638814,19.156782299133155,19.156782299133155,19.156782299133155,19.156782299133155,19.156782299133155,19.156782299133155,20.75318082406092,20.75318082406092,20.75318082406092,20.75318082406092,20.75318082406092,35.12076754841078,35.12076754841078,36.71716607333855,36.71716607333855,36.71716607333855,36.71716607333855,36.71716607333855,36.71716607333855,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,44.69915869797737,46.29555722290513,47.89195574783289,55.8739483724717,67.04873804696604,68.64513657189381,70.24153509682156,70.24153509682156,68.64513657189381,68.64513657189381,68.64513657189381
"Acari, RN",-6.4364689,-36.6394777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.979885057471265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.979885057471265,8.979885057471265,8.979885057471265
"Acauã, PI",-8.219542,-41.083059000000006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acopiara, CE",-6.093646400000001,-39.4543204,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,3.6852773171181132,3.6852773171181132,3.6852773171181132,3.6852773171181132,3.6852773171181132,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,1.8426386585590566,3.6852773171181132,3.6852773171181132,3.6852773171181132,3.6852773171181132,3.6852773171181132,3.6852773171181132,5.52791597567717,5.52791597567717,3.6852773171181132,3.6852773171181132,3.6852773171181132,5.52791597567717,7.3705546342362265,11.05583195135434,11.05583195135434,11.05583195135434,11.05583195135434,11.05583195135434,11.05583195135434,11.05583195135434,11.05583195135434,16.58374792703151,18.426386585590567,18.426386585590567,18.426386585590567,18.426386585590567,18.426386585590567,23.954302561267735,23.954302561267735,23.954302561267735,23.954302561267735,23.954302561267735,23.954302561267735,27.63957987838585,29.482218536944906,29.482218536944906,29.482218536944906,31.32485719550396,31.32485719550396,31.32485719550396,31.32485719550396,31.32485719550396
