,06/29/2020,06/30/2020,07/01/2020,Latitude,Longitude,Cluster,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020
"Abadia dos Dourados, MG",0.0,0.0,0.0,-18.491119100000002,-47.4063589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abaeté, MG",0.0,0.0,0.0,-19.1566833,-45.4481213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abre Campo, MG",0.0,0.0,0.0,-20.2976097,-42.476474100000004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acaiaca, MG",25.03755633450175,25.03755633450175,25.03755633450175,-20.3621646,-43.1444162,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.03755633450175,25.03755633450175,25.03755633450175,25.03755633450175,25.03755633450175,25.03755633450175,25.03755633450175,25.03755633450175
"Adamantina, SP",14.258013003307857,14.258013003307857,14.258013003307857,-21.6866517,-51.076297499999995,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,2.851602600661572,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,5.703205201323144,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,8.554807801984715,11.406410402646287,11.406410402646287,11.406410402646287,11.406410402646287,14.258013003307857,14.258013003307857
"Adolfo, SP",56.14823133071309,56.14823133071309,56.14823133071309,-21.2356597,-49.644191799999994,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.074115665356544,28.074115665356544,28.074115665356544,56.14823133071309,56.14823133071309,56.14823133071309,56.14823133071309,56.14823133071309,56.14823133071309
"Afonso Cláudio, ES",26.15575753612764,26.15575753612764,26.15575753612764,-20.077841,-41.126059999999995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,3.269469692015955,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,6.53893938403191,9.808409076047864,9.808409076047864,9.808409076047864,9.808409076047864,16.347348460079775,16.347348460079775,16.347348460079775,16.347348460079775,16.347348460079775,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,19.61681815209573,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,22.886287844111685,26.15575753612764,26.15575753612764,26.15575753612764,26.15575753612764,26.15575753612764,26.15575753612764,26.15575753612764,26.15575753612764
"Aguanil, MG",0.0,0.0,0.0,-20.9424533,-45.3927152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aguaí, SP",11.01776614791351,11.01776614791351,11.01776614791351,-22.059203600000004,-46.979384,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.508883073956755,5.508883073956755,5.508883073956755,5.508883073956755,5.508883073956755,5.508883073956755,5.508883073956755,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,8.263324610935133,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351,11.01776614791351
"Agudos, SP",8.06148223786747,8.06148223786747,8.06148223786747,-22.471162,-48.987821999999994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,2.6871607459558233,5.374321491911647,5.374321491911647,5.374321491911647,5.374321491911647,5.374321491911647,5.374321491911647,5.374321491911647,5.374321491911647,5.374321491911647,8.06148223786747,8.06148223786747,8.06148223786747,8.06148223786747,8.06148223786747
